2021-05-22 12:48:09.1964158 +0800 CST m=+0.056756601 INFO   : query(204) success, no. 0, client 7, latency 54.895ms
2021-05-22 12:48:09.2542077 +0800 CST m=+0.114548501 INFO   : query(895) success, no. 1, client 7, latency 57.6777ms
2021-05-22 12:48:09.3054002 +0800 CST m=+0.165741001 INFO   : query(513) success, no. 2, client 7, latency 51.1245ms
2021-05-22 12:48:09.3549628 +0800 CST m=+0.215303601 INFO   : query(839) success, no. 3, client 7, latency 49.5445ms
2021-05-22 12:48:09.4038561 +0800 CST m=+0.264197001 INFO   : query(425) success, no. 4, client 7, latency 48.838ms
2021-05-22 12:48:09.4541896 +0800 CST m=+0.314530401 INFO   : query(29) success, no. 5, client 7, latency 50.3102ms
2021-05-22 12:48:09.5080698 +0800 CST m=+0.368410701 INFO   : query(451) success, no. 6, client 7, latency 53.8453ms
2021-05-22 12:48:09.5560299 +0800 CST m=+0.416370801 INFO   : query(130) success, no. 7, client 7, latency 47.9038ms
2021-05-22 12:48:09.6090996 +0800 CST m=+0.469440401 INFO   : query(978) success, no. 8, client 7, latency 53.0411ms
2021-05-22 12:48:09.6642161 +0800 CST m=+0.524556901 INFO   : query(804) success, no. 9, client 7, latency 55.0428ms
2021-05-22 12:48:09.7142437 +0800 CST m=+0.574584501 INFO   : query(145) success, no. 10, client 7, latency 49.9928ms
2021-05-22 12:48:09.7695119 +0800 CST m=+0.629852801 INFO   : query(844) success, no. 11, client 7, latency 55.2442ms
2021-05-22 12:48:09.8258706 +0800 CST m=+0.686211501 INFO   : query(917) success, no. 12, client 7, latency 56.3365ms
2021-05-22 12:48:09.8869681 +0800 CST m=+0.747308901 INFO   : query(93) success, no. 13, client 7, latency 60.9486ms
2021-05-22 12:48:09.9452092 +0800 CST m=+0.805550101 INFO   : query(816) success, no. 14, client 7, latency 58.2063ms
2021-05-22 12:48:10.0011508 +0800 CST m=+0.861491601 INFO   : query(762) success, no. 15, client 7, latency 55.9158ms
2021-05-22 12:48:10.0617455 +0800 CST m=+0.922086301 INFO   : query(424) success, no. 16, client 7, latency 60.5448ms
2021-05-22 12:48:10.1194347 +0800 CST m=+0.979775601 INFO   : query(120) success, no. 17, client 7, latency 57.6524ms
2021-05-22 12:48:10.1745757 +0800 CST m=+1.034916501 INFO   : query(540) success, no. 18, client 7, latency 55.0715ms
2021-05-22 12:48:10.2277203 +0800 CST m=+1.088061101 INFO   : query(179) success, no. 19, client 7, latency 53.1155ms
2021-05-22 12:48:10.2846279 +0800 CST m=+1.144968701 INFO   : query(313) success, no. 20, client 7, latency 56.8554ms
2021-05-22 12:48:10.3399781 +0800 CST m=+1.200318901 INFO   : query(743) success, no. 21, client 7, latency 55.3224ms
2021-05-22 12:48:10.393823 +0800 CST m=+1.254163801 INFO   : query(217) success, no. 22, client 7, latency 53.7854ms
2021-05-22 12:48:10.4455759 +0800 CST m=+1.305916701 INFO   : query(56) success, no. 23, client 7, latency 51.7287ms
2021-05-22 12:48:10.5009936 +0800 CST m=+1.361334401 INFO   : query(465) success, no. 24, client 7, latency 55.3715ms
2021-05-22 12:48:10.5540898 +0800 CST m=+1.414430701 INFO   : query(595) success, no. 25, client 7, latency 53.0522ms
2021-05-22 12:48:10.6072968 +0800 CST m=+1.467637601 INFO   : query(381) success, no. 26, client 7, latency 48.2298ms
2021-05-22 12:48:10.6611819 +0800 CST m=+1.521522701 INFO   : query(207) success, no. 27, client 7, latency 53.8341ms
2021-05-22 12:48:10.7163688 +0800 CST m=+1.576709601 INFO   : query(508) success, no. 28, client 7, latency 55.1464ms
2021-05-22 12:48:10.7734062 +0800 CST m=+1.633747001 INFO   : query(34) success, no. 29, client 7, latency 57.0133ms
2021-05-22 12:48:10.8291066 +0800 CST m=+1.689447401 INFO   : query(113) success, no. 30, client 7, latency 55.6831ms
2021-05-22 12:48:10.8799606 +0800 CST m=+1.740301401 INFO   : query(152) success, no. 31, client 7, latency 50.8312ms
2021-05-22 12:48:10.9379543 +0800 CST m=+1.798295101 INFO   : query(94) success, no. 32, client 7, latency 57.9654ms
2021-05-22 12:48:10.9967539 +0800 CST m=+1.857094701 INFO   : query(153) success, no. 33, client 7, latency 58.7736ms
2021-05-22 12:48:11.0579974 +0800 CST m=+1.918338201 INFO   : query(594) success, no. 34, client 7, latency 61.1984ms
2021-05-22 12:48:11.1204074 +0800 CST m=+1.980748201 INFO   : query(571) success, no. 35, client 7, latency 62.3318ms
