2021-05-22 21:46:40.6017458 +0800 CST m=+0.050150201 INFO   : query(443) success, no. 1, client 1, latency 3.5703ms
2021-05-22 21:46:40.6512029 +0800 CST m=+0.099607201 INFO   : query(544) success, no. 2, client 1, latency 1.3475ms
2021-05-22 21:46:40.6968449 +0800 CST m=+0.145249201 INFO   : query(123) success, no. 3, client 1, latency 0.9587ms
2021-05-22 21:46:40.7430888 +0800 CST m=+0.191493201 INFO   : query(658) success, no. 4, client 1, latency 1.554ms
2021-05-22 21:46:40.7897458 +0800 CST m=+0.238150101 INFO   : query(408) success, no. 5, client 1, latency 1.4141ms
2021-05-22 21:46:40.8373979 +0800 CST m=+0.285802301 INFO   : query(11) success, no. 6, client 1, latency 1.432ms
2021-05-22 21:46:40.8828911 +0800 CST m=+0.331295501 INFO   : query(332) success, no. 7, client 1, latency 1.3205ms
2021-05-22 21:46:40.9277791 +0800 CST m=+0.376183501 INFO   : query(775) success, no. 8, client 1, latency 1.1631ms
2021-05-22 21:46:40.9754018 +0800 CST m=+0.423806201 INFO   : query(395) success, no. 9, client 1, latency 1.2816ms
2021-05-22 21:46:41.0190338 +0800 CST m=+0.467438101 INFO   : query(951) success, no. 10, client 1, latency 0.8778ms
2021-05-22 21:46:41.0638806 +0800 CST m=+0.512285001 INFO   : query(733) success, no. 11, client 1, latency 0.9159ms
2021-05-22 21:46:41.1102088 +0800 CST m=+0.558613201 INFO   : query(53) success, no. 12, client 1, latency 1.6564ms
2021-05-22 21:46:41.1560438 +0800 CST m=+0.604448101 INFO   : query(248) success, no. 13, client 1, latency 1.2252ms
2021-05-22 21:46:41.2017388 +0800 CST m=+0.650143101 INFO   : query(132) success, no. 14, client 1, latency 1.2221ms
2021-05-22 21:46:41.2483984 +0800 CST m=+0.696802801 INFO   : query(812) success, no. 15, client 1, latency 1.5134ms
2021-05-22 21:46:41.295292 +0800 CST m=+0.743696301 INFO   : query(35) success, no. 16, client 1, latency 1.4865ms
2021-05-22 21:46:41.3437708 +0800 CST m=+0.792175201 INFO   : query(254) success, no. 17, client 1, latency 1.5054ms
2021-05-22 21:46:41.3915484 +0800 CST m=+0.839952701 INFO   : query(767) success, no. 18, client 1, latency 1.4531ms
2021-05-22 21:46:41.4388034 +0800 CST m=+0.887207701 INFO   : query(664) success, no. 19, client 1, latency 1.1012ms
2021-05-22 21:46:41.4867854 +0800 CST m=+0.935189701 INFO   : query(422) success, no. 20, client 1, latency 1.2131ms
2021-05-22 21:46:40.6017422 +0800 CST m=+0.050146601 INFO   : query(324) success, no. 1, client 2, latency 3.5392ms
2021-05-22 21:46:40.6503049 +0800 CST m=+0.098709201 INFO   : query(11) success, no. 2, client 2, latency 1.4632ms
2021-05-22 21:46:40.6968544 +0800 CST m=+0.145258701 INFO   : query(370) success, no. 3, client 2, latency 1.1524ms
2021-05-22 21:46:40.7432621 +0800 CST m=+0.191666501 INFO   : query(380) success, no. 4, client 2, latency 1.5632ms
2021-05-22 21:46:40.7896931 +0800 CST m=+0.238097501 INFO   : query(939) success, no. 5, client 2, latency 1.1733ms
2021-05-22 21:46:40.8357377 +0800 CST m=+0.284142001 INFO   : query(325) success, no. 6, client 2, latency 1.5534ms
2021-05-22 21:46:40.8830571 +0800 CST m=+0.331461401 INFO   : query(835) success, no. 7, client 2, latency 1.2124ms
2021-05-22 21:46:40.9277853 +0800 CST m=+0.376189701 INFO   : query(902) success, no. 8, client 2, latency 1.3502ms
2021-05-22 21:46:40.9749502 +0800 CST m=+0.423354501 INFO   : query(325) success, no. 9, client 2, latency 1.2236ms
2021-05-22 21:46:41.019359 +0800 CST m=+0.467763301 INFO   : query(489) success, no. 10, client 2, latency 1.2272ms
2021-05-22 21:46:41.0643019 +0800 CST m=+0.512706301 INFO   : query(503) success, no. 11, client 2, latency 1.0979ms
2021-05-22 21:46:41.1102094 +0800 CST m=+0.558613801 INFO   : query(596) success, no. 12, client 2, latency 1.5056ms
2021-05-22 21:46:41.1563019 +0800 CST m=+0.604706201 INFO   : query(198) success, no. 13, client 2, latency 1.1324ms
2021-05-22 21:46:41.2014993 +0800 CST m=+0.649903701 INFO   : query(783) success, no. 14, client 2, latency 2.1466ms
2021-05-22 21:46:41.2486957 +0800 CST m=+0.697100101 INFO   : query(256) success, no. 15, client 2, latency 1.0397ms
2021-05-22 21:46:41.2954429 +0800 CST m=+0.743847301 INFO   : query(459) success, no. 16, client 2, latency 1.464ms
2021-05-22 21:46:41.3434998 +0800 CST m=+0.791904201 INFO   : query(293) success, no. 17, client 2, latency 1.1428ms
2021-05-22 21:46:41.3915933 +0800 CST m=+0.839997601 INFO   : query(587) success, no. 18, client 2, latency 0.9854ms
2021-05-22 21:46:41.4388144 +0800 CST m=+0.887218701 INFO   : query(512) success, no. 19, client 2, latency 1.3895ms
2021-05-22 21:46:41.4867379 +0800 CST m=+0.935142201 INFO   : query(571) success, no. 20, client 2, latency 1.6568ms
2021-05-22 21:46:40.6019309 +0800 CST m=+0.050335201 INFO   : query(7) success, no. 1, client 3, latency 3.6389ms
2021-05-22 21:46:40.6496977 +0800 CST m=+0.098102001 INFO   : query(765) success, no. 2, client 3, latency 1.0697ms
2021-05-22 21:46:40.6966965 +0800 CST m=+0.145100801 INFO   : query(425) success, no. 3, client 3, latency 1.4984ms
2021-05-22 21:46:40.7435287 +0800 CST m=+0.191933001 INFO   : query(683) success, no. 4, client 3, latency 1.8603ms
2021-05-22 21:46:40.7896943 +0800 CST m=+0.238098701 INFO   : query(534) success, no. 5, client 3, latency 1.4681ms
2021-05-22 21:46:40.8363066 +0800 CST m=+0.284711001 INFO   : query(858) success, no. 6, client 3, latency 1.5141ms
2021-05-22 21:46:40.8828634 +0800 CST m=+0.331267701 INFO   : query(476) success, no. 7, client 3, latency 1.3501ms
2021-05-22 21:46:40.9276234 +0800 CST m=+0.376027801 INFO   : query(532) success, no. 8, client 3, latency 1.2002ms
2021-05-22 21:46:40.9746081 +0800 CST m=+0.423012501 INFO   : query(749) success, no. 9, client 3, latency 1.3774ms
2021-05-22 21:46:41.0190281 +0800 CST m=+0.467432501 INFO   : query(539) success, no. 10, client 3, latency 1.1354ms
2021-05-22 21:46:41.0640213 +0800 CST m=+0.512425601 INFO   : query(943) success, no. 11, client 3, latency 1.7157ms
2021-05-22 21:46:41.1108589 +0800 CST m=+0.559263201 INFO   : query(433) success, no. 12, client 3, latency 1.7705ms
2021-05-22 21:46:41.1560649 +0800 CST m=+0.604469301 INFO   : query(408) success, no. 13, client 3, latency 1.4507ms
2021-05-22 21:46:41.2014752 +0800 CST m=+0.649879501 INFO   : query(95) success, no. 14, client 3, latency 1.5621ms
2021-05-22 21:46:41.2486712 +0800 CST m=+0.697075501 INFO   : query(315) success, no. 15, client 3, latency 1.7953ms
2021-05-22 21:46:41.2953197 +0800 CST m=+0.743724001 INFO   : query(756) success, no. 16, client 3, latency 1.5243ms
2021-05-22 21:46:41.3431229 +0800 CST m=+0.791527301 INFO   : query(650) success, no. 17, client 3, latency 1.255ms
2021-05-22 21:46:41.391494 +0800 CST m=+0.839898301 INFO   : query(158) success, no. 18, client 3, latency 1.5319ms
2021-05-22 21:46:41.4389252 +0800 CST m=+0.887329501 INFO   : query(285) success, no. 19, client 3, latency 1.4979ms
2021-05-22 21:46:41.4867379 +0800 CST m=+0.935142301 INFO   : query(7) success, no. 20, client 3, latency 1.245ms
2021-05-22 21:46:40.6026232 +0800 CST m=+0.051027601 INFO   : query(894) success, no. 1, client 4, latency 3.5113ms
2021-05-22 21:46:40.6500771 +0800 CST m=+0.098481401 INFO   : query(28) success, no. 2, client 4, latency 1.4781ms
2021-05-22 21:46:40.6971507 +0800 CST m=+0.145555001 INFO   : query(202) success, no. 3, client 4, latency 1.1739ms
